#{"t_start": 1726147402.2825823, "env_id": "None"}
r,l,t
96.555587,131,1660.832465
180.259958,131,1661.688979
150.505084,131,1662.560443
205.38223,131,1663.334921
149.820736,131,1664.268196
185.695654,131,1665.115975
64.637071,131,1665.902818
205.727872,131,1666.746602
172.942287,131,1667.576482
144.251214,131,1668.424492
104.644473,131,1669.237677
177.85833,131,1670.078744
137.219692,131,1670.876968
180.366924,131,1671.675416
131.841461,131,1672.493012
33.697728,120,1673.244235
121.452219,131,1686.985161
187.339459,131,1687.858712
153.384988,131,1688.75128
9.985336,94,1689.391817
181.097901,131,1690.298252
188.456596,131,1691.23226
120.087284,131,1692.142469
203.102872,131,1693.099854
149.185813,131,1694.001616
148.744435,131,1694.889712
129.91221,131,1695.819557
146.492383,131,1696.732601
121.508467,131,1697.611555
187.864951,131,1698.498163
127.523247,131,1699.458234
143.001555,131,1700.470755
214.991509,131,1701.373484
188.335786,131,1702.292225
211.027899,131,1703.365804
167.342103,131,1704.267343
180.473222,131,1705.15267
-19.505377,131,1705.964022
166.386506,131,1706.856511
28.216059,131,1707.78045
109.809648,131,1708.647597
124.747031,131,1709.512354
76.88209,131,1710.368411
155.746904,131,1711.229309
213.291474,131,1712.111085
187.263527,131,1713.034945
160.036427,131,1714.038393
118.951747,131,1726.58876
130.699767,131,1727.54048
212.215262,131,1728.521729
204.81592,131,1729.566043
189.715543,131,1730.570704
113.140111,131,1731.504479
212.70607,131,1732.468829
187.918455,131,1733.427494
198.476316,131,1734.319917
187.364814,131,1735.272428
182.221026,131,1736.182433
193.816265,131,1737.043404
157.441861,131,1737.930298
212.454595,131,1738.711268
135.071187,131,1739.511613
194.030889,131,1740.31571
187.175372,131,1741.109746
156.115284,131,1741.95435
108.304075,131,1742.812192
135.297572,131,1743.625168
158.836672,131,1744.495027
176.368229,131,1745.36867
208.251542,131,1746.226121
126.145276,131,1747.088102
112.329589,131,1747.943547
67.643621,131,1748.773335
206.453004,131,1749.587122
100.04029,131,1750.425667
190.128978,131,1751.269349
156.439939,131,1752.077305
211.814703,131,1752.941657
-61.346334,131,1753.73334
198.373017,131,1765.507756
139.557503,131,1766.296349
128.216986,131,1767.093626
188.83736,131,1767.940679
157.095025,131,1768.731737
189.838238,131,1769.508817
198.957764,131,1770.339811
187.822033,131,1771.166744
199.644338,131,1771.998337
168.982104,131,1772.871675
37.109989,131,1773.756521
117.254362,131,1774.632348
210.091076,131,1775.469244
162.5925,131,1776.25619
171.632478,131,1777.115638
199.756129,131,1777.9966
199.634473,131,1778.815159
202.52048,131,1779.660439
173.635183,131,1780.495158
213.14978,131,1781.308719
197.292385,131,1782.202914
176.421671,131,1783.051662
159.442518,131,1783.861866
129.669647,131,1784.643255
133.523687,131,1785.423751
70.9897,131,1786.238121
28.286061,131,1787.023776
116.918549,131,1787.844865
122.71683,131,1788.684134
114.554247,131,1789.52028
87.154682,131,1790.347646
199.513252,131,1801.698298
137.670162,131,1802.583496
130.10228,131,1803.440076
138.563209,131,1804.294844
190.388922,131,1805.180012
109.683906,131,1806.004792
137.934602,131,1806.862101
170.925555,131,1807.747597
186.458479,131,1808.650809
173.033525,131,1809.549414
154.842299,131,1810.447395
147.531462,131,1811.323999
183.806691,131,1812.197534
82.193975,131,1813.09105
199.767663,131,1813.924782
212.749155,131,1814.779915
178.502022,131,1815.658041
198.97145,131,1816.491257
200.813816,131,1817.410222
142.520158,131,1818.285272
131.780055,131,1819.16073
140.398499,131,1820.041135
150.701824,131,1820.894245
117.674049,131,1821.765042
194.866373,131,1822.611355
146.284685,131,1823.45164
187.251654,131,1824.346276
204.661981,131,1825.186678
93.020873,131,1826.091942
153.936239,131,1826.943478
139.431786,131,1827.782202
146.261746,131,1840.312246
189.789331,131,1841.279283
141.255395,131,1842.21611
123.163958,131,1843.186943
165.079266,131,1844.110126
186.00357,131,1845.01034
111.68058,131,1845.910522
177.76783,131,1846.835122
161.968547,131,1847.71096
147.8842,131,1848.56726
163.092856,131,1849.41991
63.076209,131,1850.26173
132.549214,131,1851.043316
213.26664,131,1851.855671
187.806565,131,1852.697494
213.306285,131,1853.499831
154.065869,131,1854.388413
